Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
1.3%,,8240,Below Threshold,"$46,453",Below 1.5%,78,Friendly,Luxembourg,,,3335,"$42,192",$20B,7.5%,"$3,495",,0.004,23%,,81,75,70%,1,0.189,0.67,0.141,0.4M,84.2%,Europe,$2B,$1B,12/1/2000
1.3%,,12064,Below Threshold,"$1,748",Below 1.5%,74,Very Friendly,North Macedonia,,,2668,$0,$4B,8.7%,$153,,0.014,3%,0.189,76,71,6%,1,0.224,0.676,0.1,2.1M,58.5%,Europe,$0B,$0B,12/1/2000
1.2%,,2065,Below Threshold,"$10,377",Below 1.5%,78,Friendly,Malta,,,676,"$9,376",$4B,6.6%,$643,,0.007,13%,0.073,80,76,28%,1,0.207,0.686,0.107,0.4M,92.4%,Europe,$1B,$0B,12/1/2000
1.2%,,3513,Below Threshold,$354,Below 1.5%,67,Friendly,Moldova,,,2883,$0,$1B,6.7%,$24,,0.025,1%,0.338,71,63,3%,1,0.237,0.663,0.1,3.6M,45.8%,Europe,$0B,$0B,12/1/2000
,,,Below Threshold,"$82,537",Above 3%,,Not Clustered,Monaco,,,,"$79,696",$3B,3.3%,"$2,685",,0.004,42%,,,,43%,1,,,,0.0M,100.0%,Europe,,,12/1/2000
1.3%,,,Below Threshold,"$1,610",Below 1.5%,74,Very Friendly,Montenegro,,,,$0,$1B,7.5%,$121,,0.013,,,77,71,,1,0.213,0.673,0.113,0.6M,58.5%,Europe,,,12/1/2000
1.3%,,165363,Below Threshold,"$24,175",Below 1.5%,79,Very Friendly,Netherlands,,,73223,"$23,440",$385B,8.0%,"$1,932",,0.005,44%,0.048,81,76,68%,1,0.186,0.679,0.136,15.9M,76.8%,Europe,$11B,$14B,12/1/2000
1.3%,,38808,Below Threshold,"$37,408",Below 1.5%,79,Very Friendly,Norway,,,26092,"$32,816",$168B,9.1%,"$3,432",,0.004,52%,0.089,81,76,72%,1,0.2,0.648,0.152,4.5M,76.1%,Europe,$3B,$5B,12/1/2000
1.0%,,301691,Below Threshold,"$4,470",Below 1.5%,74,Very Friendly,Poland,,,89116,$0,$171B,5.5%,$247,,0.008,7%,0.2,78,70,18%,1,0.194,0.684,0.123,38.3M,61.7%,Europe,$6B,$3B,12/1/2000
1.2%,,62966,Below Threshold,"$11,370",Below 1.5%,77,Very Friendly,Portugal,,,24673,"$9,376",$117B,9.3%,"$1,070",,0.006,16%,,80,73,65%,1,0.162,0.676,0.162,10.3M,54.4%,Europe,$6B,$3B,12/1/2000
1.0%,,89985,Below Threshold,"$1,662",Below 1.5%,72,Friendly,Romania,,,36228,$0,$37B,4.3%,$72,,0.023,4%,0.539,75,68,11%,1,0.186,0.68,0.134,22.4M,53.0%,Europe,$0B,$0B,12/1/2000
0.9%,,1558112,Below Threshold,"$1,774",Below 1.5%,66,Moderate,Russia,,,619265,$0,$260B,5.4%,$96,,0.02,2%,0.244,72,59,2%,1,0.182,0.694,0.124,146.6M,73.4%,Europe,$3B,$9B,12/1/2000
,,,Below Threshold,"$28,696",Above 3%,81,Friendly,San Marino,,,,"$28,128",$1B,5.3%,"$2,161",,0.005,49%,0.092,84,77,54%,1,,,,0.0M,93.4%,Europe,,,12/1/2000
1.0%,,,Below Threshold,$809,Below 1.5%,73,Friendly,Serbia,,,13728,$0,$6B,7.4%,$51,,0.011,,0.063,75,70,,1,0.202,0.669,0.129,7.5M,53.2%,Europe,,,12/1/2000
1.0%,,37312,Below Threshold,"$5,330",Below 1.5%,73,Very Friendly,Slovakia,,,17743,"$4,688",$29B,5.5%,$208,,0.01,9%,0.149,77,69,23%,1,0.197,0.689,0.114,5.4M,56.2%,Europe,$0B,$0B,12/1/2000
0.9%,,14265,Below Threshold,"$10,045",Below 1.5%,76,Very Friendly,Slovenia,,,6413,"$9,376",$20B,8.3%,$831,,0.005,15%,0.158,79,72,61%,1,0.159,0.7,0.141,2.0M,50.8%,Europe,$1B,$1B,12/1/2000
1.0%,,294434,Below Threshold,"$14,405",Below 1.5%,80,Very Friendly,Spain,,,121856,"$14,064",$580B,7.2%,"$1,045",,0.005,14%,0.052,83,76,60%,1,0.148,0.684,0.169,40.3M,76.3%,Europe,$33B,$8B,12/1/2000
1.0%,,49794,Below Threshold,"$27,840",Below 1.5%,80,Very Friendly,Sweden,,,47556,"$23,440",$247B,8.2%,"$2,282",,0.003,46%,0.058,82,77,72%,1,0.184,0.643,0.173,8.9M,84.0%,Europe,$5B,$9B,12/1/2000
1.1%,,39050,Below Threshold,"$35,634",Below 1.5%,80,Very Friendly,Switzerland,,,25005,"$32,816",$256B,9.9%,"$3,541",,0.005,47%,0.043,83,77,65%,1,0.174,0.673,0.153,7.2M,73.3%,Europe,$9B,$7B,12/1/2000
2.1%,,216148,Below Threshold,"$4,226",1.5-3%,70,Friendly,Turkey,,,76348,$0,$267B,4.9%,$196,,0.034,4%,,74,66,26%,1,0.307,0.634,0.06,63.2M,64.7%,Europe,$8B,$2B,12/1/2000
0.8%,,320774,Below Threshold,$636,Below 1.5%,68,Moderate,Ukraine,,,133794,$0,$31B,5.6%,$36,,0.016,1%,0.415,74,62,2%,1,0.175,0.688,0.138,49.2M,67.1%,Europe,$1B,$1B,12/1/2000
1.2%,,543662,Below Threshold,"$25,300",Below 1.5%,78,Very Friendly,United Kingdom,,,222940,"$23,440","$1,490B",7.0%,"$1,761",,0.006,27%,0.06,80,75,74%,1,0.19,0.652,0.158,58.9M,78.7%,Europe,$30B,$47B,12/1/2000
2.1%,,18643,Below Threshold,"$13,563",1.5-3%,75,Very Friendly,Bahrain,,,5865,"$9,376",$9B,3.5%,$476,,0.011,6%,0.116,76,74,31%,1,0.308,0.667,0.024,0.7M,88.4%,Middle East,$1B,$0B,12/1/2000
1.9%,,372703,Below Threshold,"$1,532",1.5-3%,70,Low,Iran,,,122983,$0,$101B,4.6%,$231,,0.029,1%,,71,69,2%,1,0.347,0.611,0.042,65.9M,64.0%,Middle East,$1B,$1B,12/1/2000
3.6%,,72445,Below Threshold,,Above 3%,71,Low,Iraq,,,25937,,,0.8%,$7,,0.036,,,73,69,,1,0.428,0.537,0.035,23.8M,68.5%,Middle East,$0B,$0B,12/1/2000
2.2%,,62691,Below Threshold,"$19,876",1.5-3%,79,Very Friendly,Israel,,,18234,"$18,752",$125B,7.4%,"$1,454",,0.006,21%,0.128,81,77,73%,1,0.281,0.619,0.1,6.3M,91.2%,Middle East,$5B,$4B,12/1/2000
3.1%,,15508,Below Threshold,"$1,763",Above 3%,72,Moderate,Jordan,,,4864,$0,$8B,9.7%,$171,,0.023,3%,0.118,73,70,8%,1,0.394,0.575,0.031,4.8M,79.8%,Middle East,$1B,$0B,12/1/2000
2.4%,,55181,Below Threshold,"$19,787",1.5-3%,73,Moderate,Kuwait,,,18805,"$18,752",$38B,2.5%,$494,,0.011,7%,0.089,74,72,25%,1,0.257,0.712,0.031,1.9M,98.1%,Middle East,$0B,$3B,12/1/2000
1.9%,,15354,Below Threshold,"$5,335",1.5-3%,75,Moderate,Lebanon,,,4907,"$4,688",$17B,10.9%,$579,,0.017,8%,0.182,76,73,23%,1,0.286,0.643,0.071,3.2M,86.0%,Middle East,$1B,,12/1/2000
2.4%,,21896,Below Threshold,"$9,062",1.5-3%,72,Very Friendly,Oman,,,8083,"$4,688",$20B,3.1%,$264,,0.014,4%,0.101,74,70,7%,1,0.372,0.605,0.023,2.2M,71.6%,Middle East,$0B,$1B,12/1/2000
1.9%,,34730,Below Threshold,"$29,914",1.5-3%,77,Very Friendly,Qatar,,,10876,"$28,128",$18B,2.2%,$652,,0.011,5%,,78,76,20%,1,0.259,0.724,0.017,0.6M,96.3%,Middle East,$0B,$0B,12/1/2000
2.7%,,296935,Below Threshold,"$9,333",1.5-3%,73,Very Friendly,Saudi Arabia,,,101325,"$4,688",$188B,4.2%,$398,,0.019,2%,,74,71,7%,1,0.384,0.581,0.035,20.1M,79.8%,Middle East,,,12/1/2000
3.0%,,51048,Below Threshold,"$1,180",Above 3%,74,Low,Syria,,,15765,$0,$19B,4.9%,$59,,0.02,0%,0.09,75,72,0%,1,0.408,0.558,0.034,16.4M,51.9%,Middle East,$1B,$1B,12/1/2000
1.7%,,112562,Below Threshold,"$34,365",1.5-3%,74,Very Friendly,United Arab Emirates,,,33944,"$32,816",$104B,2.2%,$752,,0.01,24%,0.097,75,73,47%,1,0.254,0.736,0.01,3.0M,80.2%,Middle East,$1B,$3B,12/1/2000
3.9%,,14639,Below Threshold,$550,Above 3%,61,Not Clustered,Yemen,,,4747,$0,$10B,4.1%,$25,,0.069,0%,0.195,62,59,0%,1,0.486,0.485,0.029,17.5M,26.3%,Middle East,$0B,$0B,12/1/2000
,,,Below Threshold,,Above 3%,,Not Clustered,American Samoa,,,,,,,,,,,,,,4%,1,,,,0.1M,88.6%,Oceania,,,12/1/2000
1.3%,,329605,Below Threshold,"$21,668",Below 1.5%,80,Very Friendly,Australia,,,108110,"$18,752",$415B,8.1%,"$1,713",,0.005,47%,0.093,82,77,45%,1,0.207,0.669,0.124,19.2M,87.2%,Oceania,$13B,$9B,12/1/2000
2.5%,,865,Below Threshold,"$2,075",1.5-3%,68,Friendly,Fiji,,,,$0,$2B,3.9%,$80,,0.021,2%,0.084,70,65,7%,1,0.351,0.615,0.034,0.8M,47.9%,Oceania,$0B,$0B,12/1/2000
2.0%,,631,Below Threshold,"$14,530",1.5-3%,73,Not Clustered,French Polynesia,,,,"$14,064",$3B,,,,,6%,,75,70,17%,1,0.318,0.64,0.043,0.2M,56.1%,Oceania,,,12/1/2000
2.2%,,,Below Threshold,,1.5-3%,76,Not Clustered,Guam,,,,,,,,,,16%,,78,73,18%,1,0.305,0.642,0.054,0.2M,93.1%,Oceania,,,12/1/2000
2.9%,,33,Below Threshold,$815,1.5-3%,65,Moderate,Kiribati,,,,$0,$0B,7.9%,$65,,0.054,2%,,68,62,0%,1,0.399,0.567,0.034,0.1M,43.0%,Oceania,$0B,,12/1/2000
,,77,Above Threshold,"$2,127",Above 3%,66,Moderate,Marshall Islands,,,,$0,$0B,22.5%,$466,,0.034,2%,,68,63,1%,1,,,,0.1M,68.4%,Oceania,$0B,$0B,12/1/2000
3.0%,,136,Below Threshold,"$2,171",Above 3%,68,Low,"Micronesia, Fed. Sts.",,,,$0,$0B,7.8%,$170,,0.042,4%,0.153,68,67,,1,0.403,0.56,0.037,0.1M,22.3%,Oceania,$0B,$0B,12/1/2000
2.1%,,2299,Below Threshold,"$12,580",1.5-3%,75,Not Clustered,New Caledonia,,,,"$9,376",$3B,,,,,14%,,78,72,24%,1,0.287,0.654,0.059,0.2M,61.8%,Oceania,$0B,,12/1/2000
1.5%,,32897,Below Threshold,"$13,483",1.5-3%,79,Very Friendly,New Zealand,,,17056,"$9,376",$52B,7.6%,"$1,052",,0.006,47%,0.078,81,76,40%,1,0.227,0.655,0.118,3.9M,85.7%,Oceania,$2B,$1B,12/1/2000
3.5%,,2688,Below Threshold,$655,Above 3%,59,Moderate,Papua New Guinea,,,,$0,$4B,4.0%,$26,,0.058,1%,0.175,61,57,0%,1,0.402,0.573,0.025,5.4M,13.2%,Oceania,$0B,$0B,12/1/2000
3.1%,,139,Below Threshold,"$1,373",Above 3%,70,Friendly,Samoa,,,,$0,$0B,6.0%,$80,,0.019,1%,,73,66,1%,1,0.407,0.548,0.045,0.2M,22.0%,Oceania,$0B,,12/1/2000
3.6%,,165,Below Threshold,"$1,055",Above 3%,63,Friendly,Solomon Islands,,,,$0,$0B,4.6%,$48,,0.028,1%,0.146,64,62,0%,1,0.419,0.553,0.028,0.4M,15.8%,Oceania,$0B,$0B,12/1/2000
2.8%,,121,Below Threshold,"$1,925",1.5-3%,71,Friendly,Tonga,,,,$0,$0B,4.8%,$92,,0.015,2%,0.113,73,69,0%,1,0.384,0.559,0.057,0.1M,23.0%,Oceania,$0B,,12/1/2000
3.2%,,81,Below Threshold,"$1,470",Above 3%,68,Friendly,Vanuatu,,,,$0,$0B,3.6%,$52,,0.02,2%,0.099,69,66,0%,1,0.415,0.552,0.033,0.2M,21.7%,Oceania,$0B,$0B,12/1/2000
2.0%,,345,Below Threshold,"$10,144",1.5-3%,74,Friendly,Antigua and Barbuda,,,,"$9,376",$1B,4.0%,$408,,0.014,7%,0.122,76,71,28%,1,0.292,0.637,0.071,0.1M,32.1%,The Americas,$0B,$0B,12/1/2000
1.9%,,141077,Below Threshold,"$9,322",1.5-3%,74,Moderate,Argentina,,,60954,"$4,688",$344B,9.2%,$710,,0.018,7%,0.111,78,70,18%,1,0.279,0.621,0.099,36.9M,89.1%,The Americas,$3B,$5B,12/1/2000
1.4%,,2233,Below Threshold,"$20,620",Below 1.5%,74,Not Clustered,Aruba,,,,"$18,752",$2B,,,,,15%,0.121,76,71,17%,1,0.232,0.692,0.076,0.1M,46.7%,The Americas,$1B,$0B,12/1/2000
1.8%,,1668,Below Threshold,"$21,251",1.5-3%,72,Friendly,"Bahamas, The",,,,"$18,752",$6B,5.2%,"$1,107",,0.013,8%,0.06,75,69,11%,1,0.293,0.654,0.054,0.3M,82.0%,The Americas,$2B,$0B,12/1/2000
1.3%,,1188,Below Threshold,"$11,675",Below 1.5%,73,Friendly,Barbados,,,,"$9,376",$3B,6.3%,$602,,0.015,4%,0.102,75,71,11%,1,0.219,0.666,0.115,0.3M,33.8%,The Americas,$1B,$0B,12/1/2000
2.9%,,689,Below Threshold,"$3,486",1.5-3%,71,Moderate,Belize,,,,$0,$1B,4.0%,$139,,0.021,6%,0.16,74,67,7%,1,0.402,0.555,0.043,0.2M,47.7%,The Americas,$0B,$0B,12/1/2000
1.4%,,495,Below Threshold,"$56,284",Below 1.5%,78,Not Clustered,Bermuda,,,,"$56,256",$3B,,,,,43%,,81,75,21%,1,,,,0.1M,100.0%,The Americas,$0B,,12/1/2000
3.1%,,10224,Below Threshold,$989,Above 3%,63,Low,Bolivia,,,3737,$0,$8B,6.1%,$60,,0.057,1%,0.346,65,61,7%,1,0.398,0.56,0.042,8.5M,61.8%,The Americas,$0B,$0B,12/1/2000
2.1%,,327984,Below Threshold,"$3,696",1.5-3%,71,Moderate,Brazil,,,187442,$0,$645B,7.2%,$265,,0.029,3%,0.568,74,67,13%,1,0.296,0.649,0.055,174.5M,81.2%,The Americas,$2B,$5B,12/1/2000
1.1%,,534484,Below Threshold,"$24,017",Below 1.5%,80,Very Friendly,Canada,,,251450,"$23,440",$739B,8.8%,"$2,090",,0.005,51%,0.073,82,77,28%,1,0.192,0.683,0.125,30.8M,79.5%,The Americas,$13B,$15B,12/1/2000
,,455,Below Threshold,,Above 3%,,Not Clustered,Cayman Islands,,,,,,,,,,,,,,26%,1,,,,0.0M,100.0%,The Americas,$1B,,12/1/2000
1.7%,,58694,Below Threshold,"$5,133",1.5-3%,77,Very Friendly,Chile,,,25174,"$4,688",$79B,7.7%,$390,,0.009,17%,0.148,80,74,22%,1,0.278,0.65,0.072,15.5M,86.1%,The Americas,$1B,$1B,12/1/2000
2.3%,,57924,Below Threshold,"$2,504",1.5-3%,71,Very Friendly,Colombia,,,25814,$0,$100B,5.9%,$148,,0.021,2%,0.188,75,67,6%,1,0.328,0.624,0.047,39.9M,72.1%,The Americas,$1B,$1B,12/1/2000
2.0%,,5475,Below Threshold,"$4,058",1.5-3%,78,Moderate,Costa Rica,,,2874,$0,$16B,7.1%,$287,,0.011,6%,0.249,80,75,5%,1,0.315,0.631,0.055,3.9M,59.0%,The Americas,$1B,$1B,12/1/2000
1.3%,,26039,Below Threshold,"$2,744",Below 1.5%,77,Not Clustered,Cuba,,,12859,$0,$31B,6.1%,$166,,0.007,1%,,79,75,0%,1,0.216,0.685,0.099,11.1M,75.3%,The Americas,$2B,,12/1/2000
,,,Below Threshold,,Above 3%,,Not Clustered,Curacao,,,,,,,,,,,,,,,1,0.249,0.648,0.103,0.1M,90.8%,The Americas,$0B,,12/1/2000
,,103,Below Threshold,"$4,657",Above 3%,,Friendly,Dominica,,,,$0,$0B,5.0%,$231,,0.014,9%,0.117,,,2%,1,,,,0.1M,65.3%,The Americas,$0B,$0B,12/1/2000
2.5%,,20117,Below Threshold,"$2,770",1.5-3%,71,Moderate,Dominican Republic,,,7499,$0,$24B,6.3%,$173,,0.033,4%,0.268,74,68,8%,1,0.349,0.599,0.051,8.7M,61.7%,The Americas,$3B,$0B,12/1/2000
2.5%,,20942,Below Threshold,"$1,462",1.5-3%,74,Moderate,Ecuador,,,7815,$0,$18B,3.6%,$53,,0.028,2%,0.171,76,71,4%,1,0.345,0.604,0.051,12.5M,60.3%,The Americas,$0B,$0B,12/1/2000
2.5%,,5743,Below Threshold,"$2,204",1.5-3%,70,Moderate,El Salvador,,,3968,$0,$13B,8.1%,$179,,0.027,1%,0.14,74,65,13%,1,0.383,0.562,0.055,6.0M,58.9%,The Americas,$0B,$0B,12/1/2000
1.6%,,532,Below Threshold,"$19,004",1.5-3%,67,Not Clustered,Greenland,,,,"$18,752",$1B,,,,,32%,,70,64,27%,1,,,,0.1M,81.6%,The Americas,,,12/1/2000
1.9%,,191,Below Threshold,"$5,149",1.5-3%,71,Moderate,Grenada,,,,"$4,688",$1B,6.6%,$339,,0.014,4%,0.116,73,68,4%,1,0.35,0.572,0.078,0.1M,35.9%,The Americas,$0B,$0B,12/1/2000
3.7%,,9916,Below Threshold,"$1,722",Above 3%,68,Friendly,Guatemala,,,7041,$0,$19B,5.6%,$96,,0.04,1%,0.209,71,64,8%,1,0.441,0.519,0.04,11.2M,45.1%,The Americas,$0B,$0B,12/1/2000
2.2%,,1610,Below Threshold,$957,1.5-3%,64,Moderate,Guyana,,,,$0,$1B,5.8%,$56,,0.039,7%,0.173,67,60,5%,1,0.354,0.602,0.045,0.7M,28.7%,The Americas,$0B,$0B,12/1/2000
3.1%,,1368,Below Threshold,$427,Above 3%,58,Low,Haiti,,,2010,$0,$4B,6.1%,$26,,0.075,0%,0.314,59,56,1%,1,0.403,0.557,0.04,8.6M,35.6%,The Americas,$0B,$0B,12/1/2000
3.2%,,5031,Below Threshold,"$1,140",Above 3%,71,Moderate,Honduras,,,2990,$0,$7B,6.6%,$76,,0.031,1%,0.268,73,68,3%,1,0.424,0.537,0.039,6.2M,45.5%,The Americas,$0B,$0B,12/1/2000
2.1%,,10319,Below Threshold,"$3,479",1.5-3%,71,Friendly,Jamaica,,,3829,$0,$9B,5.5%,$189,,0.02,3%,0.233,73,68,14%,1,0.327,0.599,0.075,2.6M,51.8%,The Americas,$2B,$0B,12/1/2000
2.4%,,381518,Below Threshold,"$6,585",1.5-3%,75,Very Friendly,Mexico,,,145384,"$4,688",$684B,5.1%,$328,,0.022,5%,0.169,77,72,14%,1,0.341,0.61,0.049,103.9M,74.7%,The Americas,$9B,$6B,12/1/2000
2.8%,,3762,Below Threshold,"$1,001",1.5-3%,70,Moderate,Nicaragua,,,2522,$0,$5B,5.4%,$54,,0.033,1%,0.181,72,67,2%,1,0.409,0.554,0.037,5.1M,54.7%,The Americas,$0B,$0B,12/1/2000
2.4%,,5790,Below Threshold,"$3,804",1.5-3%,76,Friendly,Panama,,,2569,$0,$12B,7.8%,$295,,0.022,7%,0.105,78,73,13%,1,0.321,0.623,0.055,3.1M,62.2%,The Americas,$1B,$0B,12/1/2000
2.8%,,3689,Below Threshold,"$1,532",1.5-3%,70,Moderate,Paraguay,,,3850,$0,$8B,8.1%,$124,,0.028,1%,0.268,72,68,15%,1,0.382,0.574,0.044,5.4M,55.3%,The Americas,$0B,$0B,12/1/2000
2.4%,,30297,Below Threshold,"$1,949",1.5-3%,71,Very Friendly,Peru,,,12222,$0,$51B,4.7%,$96,,0.03,3%,0.3,73,68,5%,1,0.341,0.611,0.048,26.0M,73.0%,The Americas,$1B,$1B,12/1/2000
1.6%,,,Below Threshold,"$16,192",1.5-3%,77,Very Friendly,Puerto Rico,,,,"$14,064",$62B,,,,,11%,,81,73,35%,1,0.236,0.651,0.113,3.8M,94.4%,The Americas,$2B,$1B,12/1/2000
,,,Below Threshold,,Above 3%,,Not Clustered,Sint Maarten (Dutch part),,,,,,,,,,,,,,,1,,,,0.0M,100.0%,The Americas,$1B,$0B,12/1/2000
,,103,Below Threshold,"$9,146",Above 3%,,Friendly,St. Kitts and Nevis,,,,"$4,688",$0B,4.3%,$392,,0.014,6%,0.111,,,3%,1,,,,0.0M,32.8%,The Americas,$0B,$0B,12/1/2000
2.0%,,330,Below Threshold,"$4,871",1.5-3%,72,Friendly,St. Lucia,,,,"$4,688",$1B,5.6%,$272,,0.015,5%,0.131,73,70,2%,1,0.322,0.602,0.076,0.2M,27.8%,The Americas,$0B,$0B,12/1/2000
1.7%,,,Below Threshold,,1.5-3%,77,Not Clustered,St. Martin (French part),,,,,,,,,,,,80,74,,1,,,,0.0M,,The Americas,,,12/1/2000
2.0%,,158,Below Threshold,"$3,684",1.5-3%,71,Friendly,St. Vincent and the Grenadines,,,,$0,$0B,3.7%,$137,,0.019,3%,0.115,73,68,2%,1,0.314,0.616,0.069,0.1M,45.2%,The Americas,$0B,$0B,12/1/2000
2.3%,,2127,Below Threshold,"$1,912",1.5-3%,68,Low,Suriname,,,,$0,$1B,8.7%,$167,,0.03,3%,0.29,71,65,9%,1,0.306,0.637,0.057,0.5M,66.4%,The Americas,$0B,$0B,12/1/2000
1.5%,,24514,Below Threshold,"$6,431",1.5-3%,69,Friendly,Trinidad and Tobago,,,10854,"$4,688",$8B,4.0%,$260,,0.025,8%,0.165,72,65,13%,1,0.256,0.679,0.065,1.3M,10.8%,The Americas,$0B,$0B,12/1/2000
,,15,Below Threshold,,Above 3%,,Not Clustered,Turks and Caicos Islands,,,,,,,,,,,,,,,1,,,,0.0M,84.6%,The Americas,$0B,,12/1/2000
1.4%,,5713560,Below Threshold,"$36,504",Below 1.5%,77,Very Friendly,United States,,,2273332,"$32,816","$10,300B",13.6%,"$4,790",,0.007,43%,0.092,79,74,39%,1,0.213,0.663,0.124,282.2M,79.1%,The Americas,$121B,$91B,12/1/2000
1.6%,,5306,Below Threshold,"$6,873",1.5-3%,75,Friendly,Uruguay,,,3092,"$4,688",$23B,11.2%,$773,,0.015,11%,0.461,78,71,12%,1,0.246,0.624,0.131,3.3M,92.0%,The Americas,$1B,$0B,12/1/2000
2.4%,,152415,Below Threshold,"$4,794",1.5-3%,73,Low,Venezuela,,,56424,"$4,688",$117B,5.7%,$273,,0.018,3%,0.252,75,70,22%,1,0.337,0.617,0.046,24.4M,88.0%,The Americas,$0B,$2B,12/1/2000
1.9%,,84293,Below Threshold,"$1,703",1.5-3%,70,Low,Algeria,,,27072,$0,$55B,3.8%,$65,,0.033,1%,0.095,71,68,0%,1,0.33,0.63,0.04,32.2M,60.7%,Africa,$0B,$0B,12/1/2001
5.0%,,9732,Below Threshold,$621,Above 3%,46,Low,Angola,,,7883,$0,$9B,5.8%,$36,,0.127,0%,0.96,47,45,1%,1,0.477,0.499,0.025,14.4M,33.2%,Africa,$0B,$0B,12/1/2001
4.2%,,1738,Below Threshold,$348,Above 3%,56,Low,Benin,,,2109,$0,$2B,4.7%,$16,,0.088,0%,,57,54,2%,1,0.453,0.518,0.029,7.2M,38.7%,Africa,$0B,$0B,12/1/2001
2.7%,,4334,Below Threshold,"$3,078",1.5-3%,50,Friendly,Botswana,,,1868,$0,$5B,5.2%,$175,,0.054,3%,0.158,51,48,19%,1,0.377,0.593,0.03,1.8M,54.1%,Africa,$0B,$0B,12/1/2001
4.6%,,997,Below Threshold,$235,Above 3%,51,Low,Burkina Faso,,,,$0,$3B,4.9%,$12,,0.095,0%,,52,50,1%,1,0.467,0.506,0.027,11.9M,18.5%,Africa,$0B,$0B,12/1/2001
4.2%,,216,Below Threshold,$128,Above 3%,49,Low,Burundi,,,,$0,$1B,6.8%,$7,,0.089,0%,0.168,50,47,1%,1,0.484,0.487,0.029,6.8M,8.5%,Africa,$0B,$0B,12/1/2001
4.1%,,3421,Below Threshold,$589,Above 3%,52,Low,Cameroon,,,6384,$0,$10B,4.7%,$27,,0.09,0%,0.207,53,51,3%,1,0.451,0.515,0.034,16.4M,46.1%,Africa,$0B,$0B,12/1/2001
3.9%,,246,Below Threshold,$252,Above 3%,44,Low,Central African Republic,,,,$0,$1B,4.0%,$10,,0.113,0%,0.207,45,42,0%,1,0.422,0.538,0.04,3.7M,37.7%,Africa,$0B,$0B,12/1/2001
5.1%,,172,Below Threshold,$198,Above 3%,47,Low,Chad,,,,$0,$2B,6.0%,$12,,0.105,0%,0.207,48,46,0%,1,0.491,0.481,0.028,8.6M,21.7%,Africa,$0B,$0B,12/1/2001
3.9%,,88,Below Threshold,$406,Above 3%,59,Low,Comoros,,,,$0,$0B,2.8%,$11,,0.073,0%,0.12,60,57,,1,0.414,0.555,0.031,0.5M,28.0%,Africa,$0B,,12/1/2001
4.7%,,1566,Below Threshold,$154,Above 3%,47,Low,Congo (Kinshasa),,,17242,$0,$7B,4.3%,$6,,0.114,0%,,48,45,0%,1,0.464,0.507,0.028,48.2M,35.6%,Africa,,,12/1/2001
3.9%,,862,Below Threshold,$872,Above 3%,53,Low,Congo (Brazzaville),,,884,$0,$3B,2.4%,$21,,0.075,0%,0.207,54,51,5%,1,0.419,0.545,0.036,3.2M,59.2%,Africa,$0B,$0B,12/1/2001
3.8%,,7726,Below Threshold,$642,Above 3%,47,Low,Cote d'Ivoire,,,6483,$0,$11B,5.2%,$34,,0.098,0%,,47,46,4%,1,0.421,0.55,0.029,16.4M,44.2%,Africa,$0B,$0B,12/1/2001
3.0%,,385,Below Threshold,$780,Above 3%,58,Low,Djibouti,,,,$0,$1B,5.4%,$41,,0.078,0%,0.115,59,56,0%,1,0.407,0.562,0.031,0.7M,76.6%,Africa,$0B,$0B,12/1/2001
2.5%,,125452,Below Threshold,"$1,453",1.5-3%,69,Moderate,Egypt,,,45698,$0,$98B,5.8%,$76,,0.034,1%,0.133,71,66,4%,1,0.348,0.598,0.054,67.2M,42.8%,Africa,$4B,$1B,12/1/2001
3.9%,,3095,Below Threshold,"$2,733",Above 3%,48,Low,Equatorial Guinea,,,,$0,$1B,1.5%,$50,,0.096,0%,0.207,49,47,3%,1,0.423,0.541,0.036,0.5M,38.8%,Africa,$0B,$0B,12/1/2001
4.0%,,631,Below Threshold,$183,Above 3%,57,Low,Eritrea,,,742,$0,$1B,3.9%,$7,,0.056,0%,,59,54,,1,0.462,0.519,0.019,4.1M,17.8%,Africa,$0B,,12/1/2001
4.3%,,4309,Below Threshold,$119,Above 3%,53,Moderate,Ethiopia,,,26171,$0,$8B,4.7%,$6,,0.087,0%,0.109,54,52,0%,1,0.466,0.504,0.031,68.0M,14.9%,Africa,$0B,$0B,12/1/2001
3.4%,,1782,Below Threshold,"$3,754",Above 3%,60,Low,Gabon,,,1579,$0,$5B,3.3%,$125,,0.055,1%,0.207,61,58,12%,1,0.404,0.538,0.058,1.3M,80.9%,Africa,$0B,$0B,12/1/2001
4.5%,,282,Below Threshold,$543,Above 3%,56,Low,"Gambia, The",,,,$0,$1B,4.6%,$25,,0.062,1%,0.24,57,54,4%,1,0.459,0.515,0.027,1.3M,48.8%,Africa,,,12/1/2001
3.4%,,6920,Below Threshold,$275,Above 3%,57,Friendly,Ghana,,,8045,$0,$5B,5.6%,$15,,0.063,0%,,58,56,1%,1,0.412,0.557,0.031,19.3M,44.6%,Africa,$0B,$0B,12/1/2001
